issue-id,anti-pattern,detailed category (if applicable),link
Tracks-112,Inefficient Computation,Inefficient queries,https://github.com/TracksApp/tracks/pull/112
Tracks-1689,Inefficient Computation,Moving computation to the DBMS,https://github.com/TracksApp/tracks/pull/1689
Tracks-63,Unnecessary Computation,Query with known results,https://github.com/TracksApp/tracks/pull/63
Tracks-222,Inefficient data access,Inefficient lazy loading,https://github.com/TracksApp/tracks/pull/222
Tracks-677,Inefficient data access,Inefficient lazy loading,https://github.com/TracksApp/tracks/issues/677
Tracks-632,Missing Index,,https://github.com/TracksApp/tracks/pull/632
Tracks-936,Missing Index,,https://github.com/TracksApp/tracks/pull/936
Tracks-1274,Missing Index,,https://github.com/TracksApp/tracks/pull/1274
Tracks-172,Unworthy Content Display,,https://github.com/TracksApp/tracks/pull/172
Tracks-1249,Unworthy Content Display,,https://github.com/TracksApp/tracks/pull/1249
Tracks-546,Unworthy Content Display,,https://github.com/TracksApp/tracks/pull/546
Tracks-870,Unworthy features,,https://github.com/TracksApp/tracks/pull/870
Diaspora-3197,Inefficient Computation,Inefficient queries,https://github.com/diaspora/diaspora/pull/3197
Diaspora-7491,Inefficient Computation,Inefficient queries,https://github.com/diaspora/diaspora/pull/7491
Diaspora-5014,Unnecessary Computation,Loop-invariant queries,https://github.com/diaspora/diaspora/pull/5014
Diaspora-6903,Unnecessary Computation,Query with known results,https://github.com/diaspora/diaspora/pull/6903
Diaspora-3087,Missing Index,,https://github.com/diaspora/diaspora/pull/3087
Diaspora-6771,Missing Index,,https://github.com/diaspora/diaspora/pull/6771
Diaspora-7234,Missing Index,,https://github.com/diaspora/diaspora/pull/7234
Diaspora-7203,Missing Index,,https://github.com/diaspora/diaspora/pull/7203
Diaspora-4190,Missing Index,,https://github.com/diaspora/diaspora/pull/4190
Diaspora-6932,Inefficient data access,Inefficient lazy loading,https://github.com/diaspora/diaspora/pull/6932
Diaspora-5335,Unworthy Content Display,,https://github.com/diaspora/diaspora/pull/5335
Diaspora-3968,Unworthy features,,https://github.com/diaspora/diaspora/pull/3968
Diaspora-4787,Unworthy features,,https://github.com/diaspora/diaspora/pull/4787
Openstreetmap-396,Missing Index,,https://github.com/openstreetmap/openstreetmap-website/issues/396
Openstreetmap-2988,Missing Index,,https://github.com/openstreetmap/openstreetmap-website/issues/2988
Openstreetmap-2998,Missing Index,,https://github.com/openstreetmap/openstreetmap-website/issues/2998
Openstreetmap-1259,Unworthy Content Display,,https://github.com/openstreetmap/openstreetmap-website/issues/1259
Openstreetmap-1532,Unworthy Content Display,,https://github.com/openstreetmap/openstreetmap-website/issues/1532
Openstreetmap-892,Unworthy features,,https://github.com/openstreetmap/openstreetmap-website/issues/892
Openstreetmap-1261,Unworthy features,,https://github.com/openstreetmap/openstreetmap-website/issues/1261
Onebody-568,Inefficient data access,Inefficient lazy loading,https://github.com/seven1m/onebody/issues/568
Onebody-409,Inefficient data access,Inefficient lazy loading,https://github.com/seven1m/onebody/pull/409
Onebody-196,Unworthy features,,https://github.com/seven1m/onebody/issues/196
Onebody-167,Missing index,,https://github.com/seven1m/onebody/commit/54f658ee6d3360915879606f9211c1d638617f57
Onebody-168,Unnecessary Computation,Dead store query,https://github.com/seven1m/onebody/commit/ef8b34e9f9f2bf4fbd372ee3414c6082925c6a02
Ror-84,Unworthy Content Display,,https://github.com/drhenner/ror_ecommerce/pull/84
Ror-88,Unnecessary Computation,Loop-invariant queries,https://github.com/drhenner/ror_ecommerce/commit/ec454d2ca0beb58ed24862addb52ebe71681ee0a
Lobsters-81,Unworthy features,,https://github.com/jcs/lobsters/pull/81
Lobsters-245,Missing fields,,https://github.com/jcs/lobsters/issues/245
Lobsters-76,Missing fields,,https://github.com/jcs/lobsters/pull/76
Lobsters-69,Unworthy Content Display,,https://github.com/jcs/lobsters/issues/69
Lobsters-37,Unnecessary Feature,,https://github.com/jcs/lobsters/pull/37
Lobsters-48,Inefficient data access,Inefficient lazy loading,https://github.com/jcs/lobsters/pull/48
Lobsters-89,Missing index,,https://github.com/jcs/lobsters/commit/8ed6de3185154bcb9b9b2b66fefb65d9a3f780cf
Ff-123,Missing fields,,https://github.com/falling-fruit/falling-fruit/commit/fc312dc3c3815635aa2a4f89ac1559874a4e0846
Ff-124,Missing index,,https://github.com/falling-fruit/falling-fruit/commit/58a9e760b6cac1dc3ab24d6ff89daccba0058888
Ff-125,Unnecessary Feature,,https://github.com/falling-fruit/falling-fruit/commit/554063b73d6e16fbe5d8c767b33dac4a6a29621c
Ful-96,Unworthy features,,https://github.com/fulcrum-agile/fulcrum/pull/96
Ful-45,Unworthy features,,https://github.com/fulcrum-agile/fulcrum/issues/45
Discourse-4528,Unnecessary Data Retrieval,,https://github.com/discourse/discourse/issues/4528
Discourse-4294,Inefficient data access,Inefficient lazy loading,https://github.com/discourse/discourse/issues/4294
Discourse-2782,Inefficient data access,Inefficient lazy loading,https://github.com/discourse/discourse/issues/2782
Discourse-2274,Inefficient data access,Inefficient lazy loading,https://github.com/discourse/discourse/issues/2274
Discourse-23747,Unworthy features,,https://github.com/discourse/discourse/issues/23747
Discourse-16604,Unworthy features,,https://github.com/discourse/discourse/issues/16604
Discourse-4852,Unworthy features,,https://github.com/discourse/discourse/issues/4852
Discourse-30088,Missing index,,https://github.com/discourse/discourse/issues/30088
Discourse-4566,Missing index,,https://github.com/discourse/discourse/issues/4566
Discourse-3154,Missing index,,https://github.com/discourse/discourse/issues/3154
Discourse-4663,Unworthy Content Display,,https://github.com/discourse/discourse/issues/4663
Discourse-4257,Unworthy Content Display,,https://github.com/discourse/discourse/issues/4257
Discourse-4981,Unworthy Content Display,,https://github.com/discourse/discourse/issues/4981
Discourse-4866,Unworthy Content Display,,https://github.com/discourse/discourse/issues/4866
Discourse-25619,Unworthy Content Display,,https://github.com/discourse/discourse/issues/25619
Discourse-4302,Unnecessary Computation,Query with known results,https://github.com/discourse/discourse/issues/4302
Discourse-16604,Unnecessary Data Retrieval,,https://github.com/discourse/discourse/issues/16604
,,,
,,,
,,,
,,,
,,,
,,#,sum
Inefficient Computation,Inefficient queries,12,18
,Moving computation to the DBMS,4,
,Moving computation to the Server,2,
Unnecessary Computation,Loop-invariant queries,5,17
,Dead store query,5,
,Query with known results,7,
Inefficient data access,Inefficient lazy loading,27,29
,Inefficient eager loading,1,
,Inefficient update,1,
